scenario,variable,measure,unit,key,tenor,sector,year,value
adverse,commercial_property_prices,growth,pct,AS,,,2025,-13.662388615
adverse,commercial_property_prices,growth,pct,AS,,,2026,-15.692514714
adverse,commercial_property_prices,growth,pct,AS,,,2027,-10.509951174
baseline,commercial_property_prices,growth,pct,AS,,,2025,0.888806752
baseline,commercial_property_prices,growth,pct,AS,,,2026,-0.068226755
baseline,commercial_property_prices,growth,pct,AS,,,2027,0.387629135
adverse,commercial_property_prices,growth,pct,AT,,,2025,-12.363760422
adverse,commercial_property_prices,growth,pct,AT,,,2026,-15.688123934
adverse,commercial_property_prices,growth,pct,AT,,,2027,-9.141361650
baseline,commercial_property_prices,growth,pct,AT,,,2025,-0.380917079
baseline,commercial_property_prices,growth,pct,AT,,,2026,1.528012437
baseline,commercial_property_prices,growth,pct,AT,,,2027,2.670643560
adverse,commercial_property_prices,growth,pct,AU,,,2025,-10.014610807
adverse,commercial_property_prices,growth,pct,AU,,,2026,-13.299093626
adverse,commercial_property_prices,growth,pct,AU,,,2027,-6.418922394
baseline,commercial_property_prices,growth,pct,AU,,,2025,4.993713486
baseline,commercial_property_prices,growth,pct,AU,,,2026,3.651274988
baseline,commercial_property_prices,growth,pct,AU,,,2027,3.987220705
adverse,commercial_property_prices,growth,pct,BE,,,2025,-11.115094445
adverse,commercial_property_prices,growth,pct,BE,,,2026,-15.962017502
adverse,commercial_property_prices,growth,pct,BE,,,2027,-9.320197481
baseline,commercial_property_prices,growth,pct,BE,,,2025,0.747432203
baseline,commercial_property_prices,growth,pct,BE,,,2026,1.005540446
baseline,commercial_property_prices,growth,pct,BE,,,2027,1.549755839
adverse,commercial_property_prices,growth,pct,BG,,,2025,-6.851962728
adverse,commercial_property_prices,growth,pct,BG,,,2026,-17.069638018
adverse,commercial_property_prices,growth,pct,BG,,,2027,-12.270794991
baseline,commercial_property_prices,growth,pct,BG,,,2025,5.159655884
baseline,commercial_property_prices,growth,pct,BG,,,2026,1.705054622
baseline,commercial_property_prices,growth,pct,BG,,,2027,1.279241673
adverse,commercial_property_prices,growth,pct,BR,,,2025,-15.572579965
adverse,commercial_property_prices,growth,pct,BR,,,2026,-15.821239965
adverse,commercial_property_prices,growth,pct,BR,,,2027,-10.864957154
baseline,commercial_property_prices,growth,pct,BR,,,2025,2.976445804
baseline,commercial_property_prices,growth,pct,BR,,,2026,0.878886714
baseline,commercial_property_prices,growth,pct,BR,,,2027,1.307831379
adverse,commercial_property_prices,growth,pct,CA,,,2025,-13.959737457
adverse,commercial_property_prices,growth,pct,CA,,,2026,-17.654213466
adverse,commercial_property_prices,growth,pct,CA,,,2027,-6.351085069
baseline,commercial_property_prices,growth,pct,CA,,,2025,4.482173724
baseline,commercial_property_prices,growth,pct,CA,,,2026,4.032112282
baseline,commercial_property_prices,growth,pct,CA,,,2027,3.928637303
adverse,commercial_property_prices,growth,pct,CH,,,2025,-11.311566681
adverse,commercial_property_prices,growth,pct,CH,,,2026,-14.509875608
adverse,commercial_property_prices,growth,pct,CH,,,2027,-8.701661547
baseline,commercial_property_prices,growth,pct,CH,,,2025,4.530653457
baseline,commercial_property_prices,growth,pct,CH,,,2026,4.108980377
baseline,commercial_property_prices,growth,pct,CH,,,2027,3.841805932
adverse,commercial_property_prices,growth,pct,CL,,,2025,-8.842067953
adverse,commercial_property_prices,growth,pct,CL,,,2026,-13.669890924
adverse,commercial_property_prices,growth,pct,CL,,,2027,-11.372981549
baseline,commercial_property_prices,growth,pct,CL,,,2025,3.090533592
baseline,commercial_property_prices,growth,pct,CL,,,2026,1.777083328
baseline,commercial_property_prices,growth,pct,CL,,,2027,2.449033657
adverse,commercial_property_prices,growth,pct,CN,,,2025,-14.083407721
adverse,commercial_property_prices,growth,pct,CN,,,2026,-15.317955468
adverse,commercial_property_prices,growth,pct,CN,,,2027,-9.742948872
baseline,commercial_property_prices,growth,pct,CN,,,2025,1.556634617
baseline,commercial_property_prices,growth,pct,CN,,,2026,0.975803282
baseline,commercial_property_prices,growth,pct,CN,,,2027,1.427366219
adverse,commercial_property_prices,growth,pct,CO,,,2025,-11.336398915
adverse,commercial_property_prices,growth,pct,CO,,,2026,-16.389988226
adverse,commercial_property_prices,growth,pct,CO,,,2027,-13.234437763
baseline,commercial_property_prices,growth,pct,CO,,,2025,0.941574489
baseline,commercial_property_prices,growth,pct,CO,,,2026,-0.285383019
baseline,commercial_property_prices,growth,pct,CO,,,2027,0.877428018
adverse,commercial_property_prices,growth,pct,CY,,,2025,-8.607111802
adverse,commercial_property_prices,growth,pct,CY,,,2026,-14.699741061
adverse,commercial_property_prices,growth,pct,CY,,,2027,-11.640739091
baseline,commercial_property_prices,growth,pct,CY,,,2025,2.322057691
baseline,commercial_property_prices,growth,pct,CY,,,2026,1.087398554
baseline,commercial_property_prices,growth,pct,CY,,,2027,0.712342312
adverse,commercial_property_prices,growth,pct,CZ,,,2025,-10.601816716
adverse,commercial_property_prices,growth,pct,CZ,,,2026,-19.197077472
adverse,commercial_property_prices,growth,pct,CZ,,,2027,-10.703422309
baseline,commercial_property_prices,growth,pct,CZ,,,2025,4.490505543
baseline,commercial_property_prices,growth,pct,CZ,,,2026,3.520572135
baseline,commercial_property_prices,growth,pct,CZ,,,2027,3.668331273
adverse,commercial_property_prices,growth,pct,DE,,,2025,-12.109313040
adverse,commercial_property_prices,growth,pct,DE,,,2026,-15.169243167
adverse,commercial_property_prices,growth,pct,DE,,,2027,-10.574227013
baseline,commercial_property_prices,growth,pct,DE,,,2025,-0.459805812
baseline,commercial_property_prices,growth,pct,DE,,,2026,0.379880124
baseline,commercial_property_prices,growth,pct,DE,,,2027,1.013985806
adverse,commercial_property_prices,growth,pct,DK,,,2025,-10.868198275
adverse,commercial_property_prices,growth,pct,DK,,,2026,-18.853931527
adverse,commercial_property_prices,growth,pct,DK,,,2027,-11.044338665
baseline,commercial_property_prices,growth,pct,DK,,,2025,2.846100898
baseline,commercial_property_prices,growth,pct,DK,,,2026,2.109616042
baseline,commercial_property_prices,growth,pct,DK,,,2027,1.772809239
adverse,commercial_property_prices,growth,pct,EA,,,2025,-9.072225593
adverse,commercial_property_prices,growth,pct,EA,,,2026,-13.624393752
adverse,commercial_property_prices,growth,pct,EA,,,2027,-9.116856692
baseline,commercial_property_prices,growth,pct,EA,,,2025,1.388780136
baseline,commercial_property_prices,growth,pct,EA,,,2026,1.215701190
baseline,commercial_property_prices,growth,pct,EA,,,2027,1.249882566
adverse,commercial_property_prices,growth,pct,EE,,,2025,-12.766920895
adverse,commercial_property_prices,growth,pct,EE,,,2026,-21.928513319
adverse,commercial_property_prices,growth,pct,EE,,,2027,-9.846928142
baseline,commercial_property_prices,growth,pct,EE,,,2025,-0.842113149
baseline,commercial_property_prices,growth,pct,EE,,,2026,2.194339423
baseline,commercial_property_prices,growth,pct,EE,,,2027,3.626905687
adverse,commercial_property_prices,growth,pct,ES,,,2025,-5.785413247
adverse,commercial_property_prices,growth,pct,ES,,,2026,-12.127288034
adverse,commercial_property_prices,growth,pct,ES,,,2027,-7.259346339
baseline,commercial_property_prices,growth,pct,ES,,,2025,2.896379133
baseline,commercial_property_prices,growth,pct,ES,,,2026,3.030514013
baseline,commercial_property_prices,growth,pct,ES,,,2027,1.648046219
adverse,commercial_property_prices,growth,pct,EU,,,2025,-9.351512854
adverse,commercial_property_prices,growth,pct,EU,,,2026,-14.259913485
adverse,commercial_property_prices,growth,pct,EU,,,2027,-9.339272852
baseline,commercial_property_prices,growth,pct,EU,,,2025,1.501370630
baseline,commercial_property_prices,growth,pct,EU,,,2026,1.251317607
baseline,commercial_property_prices,growth,pct,EU,,,2027,1.334085699
adverse,commercial_property_prices,growth,pct,FI,,,2025,-7.976856956
adverse,commercial_property_prices,growth,pct,FI,,,2026,-9.797039266
adverse,commercial_property_prices,growth,pct,FI,,,2027,-7.509466790
baseline,commercial_property_prices,growth,pct,FI,,,2025,0.234898131
baseline,commercial_property_prices,growth,pct,FI,,,2026,1.931814858
baseline,commercial_property_prices,growth,pct,FI,,,2027,2.485179618
adverse,commercial_property_prices,growth,pct,FR,,,2025,-12.334129199
adverse,commercial_property_prices,growth,pct,FR,,,2026,-11.485584219
adverse,commercial_property_prices,growth,pct,FR,,,2027,-7.497965967
baseline,commercial_property_prices,growth,pct,FR,,,2025,0.683358328
baseline,commercial_property_prices,growth,pct,FR,,,2026,0.541902565
baseline,commercial_property_prices,growth,pct,FR,,,2027,0.904817304
adverse,commercial_property_prices,growth,pct,GB,,,2025,-7.925405819
adverse,commercial_property_prices,growth,pct,GB,,,2026,-20.148136486
adverse,commercial_property_prices,growth,pct,GB,,,2027,-17.159757958
baseline,commercial_property_prices,growth,pct,GB,,,2025,1.813249908
baseline,commercial_property_prices,growth,pct,GB,,,2026,0.731195596
baseline,commercial_property_prices,growth,pct,GB,,,2027,1.216713243
adverse,commercial_property_prices,growth,pct,GR,,,2025,-6.145112919
adverse,commercial_property_prices,growth,pct,GR,,,2026,-15.554168546
adverse,commercial_property_prices,growth,pct,GR,,,2027,-10.191989747
baseline,commercial_property_prices,growth,pct,GR,,,2025,3.992766093
baseline,commercial_property_prices,growth,pct,GR,,,2026,1.765762216
baseline,commercial_property_prices,growth,pct,GR,,,2027,1.259212000
adverse,commercial_property_prices,growth,pct,HK,,,2025,-20.016082307
adverse,commercial_property_prices,growth,pct,HK,,,2026,-12.852479141
adverse,commercial_property_prices,growth,pct,HK,,,2027,-4.346975489
baseline,commercial_property_prices,growth,pct,HK,,,2025,3.328699652
baseline,commercial_property_prices,growth,pct,HK,,,2026,2.171673394
baseline,commercial_property_prices,growth,pct,HK,,,2027,2.058098503
adverse,commercial_property_prices,growth,pct,HR,,,2025,-5.867068166
adverse,commercial_property_prices,growth,pct,HR,,,2026,-15.227244829
adverse,commercial_property_prices,growth,pct,HR,,,2027,-10.267163229
baseline,commercial_property_prices,growth,pct,HR,,,2025,4.151021971
baseline,commercial_property_prices,growth,pct,HR,,,2026,2.741803695
baseline,commercial_property_prices,growth,pct,HR,,,2027,1.240546803
adverse,commercial_property_prices,growth,pct,HU,,,2025,-7.108554348
adverse,commercial_property_prices,growth,pct,HU,,,2026,-15.100387565
adverse,commercial_property_prices,growth,pct,HU,,,2027,-9.933062779
baseline,commercial_property_prices,growth,pct,HU,,,2025,0.952507995
baseline,commercial_property_prices,growth,pct,HU,,,2026,1.080110750
baseline,commercial_property_prices,growth,pct,HU,,,2027,2.375808966
adverse,commercial_property_prices,growth,pct,IE,,,2025,-5.944524374
adverse,commercial_property_prices,growth,pct,IE,,,2026,-13.960367747
adverse,commercial_property_prices,growth,pct,IE,,,2027,-9.722058982
baseline,commercial_property_prices,growth,pct,IE,,,2025,3.457631456
baseline,commercial_property_prices,growth,pct,IE,,,2026,3.087209802
baseline,commercial_property_prices,growth,pct,IE,,,2027,1.538832361
adverse,commercial_property_prices,growth,pct,IN,,,2025,-14.127105884
adverse,commercial_property_prices,growth,pct,IN,,,2026,-14.787001662
adverse,commercial_property_prices,growth,pct,IN,,,2027,-11.250982526
baseline,commercial_property_prices,growth,pct,IN,,,2025,-0.384611816
baseline,commercial_property_prices,growth,pct,IN,,,2026,-1.986650423
baseline,commercial_property_prices,growth,pct,IN,,,2027,-0.482714856
adverse,commercial_property_prices,growth,pct,IT,,,2025,-3.998057596
adverse,commercial_property_prices,growth,pct,IT,,,2026,-11.455662729
adverse,commercial_property_prices,growth,pct,IT,,,2027,-8.799837793
baseline,commercial_property_prices,growth,pct,IT,,,2025,2.353344254
baseline,commercial_property_prices,growth,pct,IT,,,2026,1.281131193
baseline,commercial_property_prices,growth,pct,IT,,,2027,0.552971175
adverse,commercial_property_prices,growth,pct,JP,,,2025,-15.744024353
adverse,commercial_property_prices,growth,pct,JP,,,2026,-14.989246376
adverse,commercial_property_prices,growth,pct,JP,,,2027,-6.847130211
baseline,commercial_property_prices,growth,pct,JP,,,2025,3.062315420
baseline,commercial_property_prices,growth,pct,JP,,,2026,3.437911089
baseline,commercial_property_prices,growth,pct,JP,,,2027,3.314233987
adverse,commercial_property_prices,growth,pct,LA,,,2025,-15.189764785
adverse,commercial_property_prices,growth,pct,LA,,,2026,-15.669836003
adverse,commercial_property_prices,growth,pct,LA,,,2027,-8.493455338
baseline,commercial_property_prices,growth,pct,LA,,,2025,2.141787310
baseline,commercial_property_prices,growth,pct,LA,,,2026,-0.029933495
baseline,commercial_property_prices,growth,pct,LA,,,2027,1.311692111
adverse,commercial_property_prices,growth,pct,LT,,,2025,-7.626692127
adverse,commercial_property_prices,growth,pct,LT,,,2026,-15.237790706
adverse,commercial_property_prices,growth,pct,LT,,,2027,-14.122212613
baseline,commercial_property_prices,growth,pct,LT,,,2025,3.987651886
baseline,commercial_property_prices,growth,pct,LT,,,2026,3.252455316
baseline,commercial_property_prices,growth,pct,LT,,,2027,2.877916179
adverse,commercial_property_prices,growth,pct,LU,,,2025,-14.270672183
adverse,commercial_property_prices,growth,pct,LU,,,2026,-18.472793529
adverse,commercial_property_prices,growth,pct,LU,,,2027,-10.194447481
baseline,commercial_property_prices,growth,pct,LU,,,2025,-0.673203438
baseline,commercial_property_prices,growth,pct,LU,,,2026,2.808058692
baseline,commercial_property_prices,growth,pct,LU,,,2027,3.663316983
adverse,commercial_property_prices,growth,pct,LV,,,2025,-8.126492024
adverse,commercial_property_prices,growth,pct,LV,,,2026,-17.198038576
adverse,commercial_property_prices,growth,pct,LV,,,2027,-10.909267697
baseline,commercial_property_prices,growth,pct,LV,,,2025,4.303397138
baseline,commercial_property_prices,growth,pct,LV,,,2026,4.598124068
baseline,commercial_property_prices,growth,pct,LV,,,2027,4.011217026
adverse,commercial_property_prices,growth,pct,MT,,,2025,-6.115054116
adverse,commercial_property_prices,growth,pct,MT,,,2026,-12.102281581
adverse,commercial_property_prices,growth,pct,MT,,,2027,-9.022122493
baseline,commercial_property_prices,growth,pct,MT,,,2025,3.504714522
baseline,commercial_property_prices,growth,pct,MT,,,2026,3.631977539
baseline,commercial_property_prices,growth,pct,MT,,,2027,3.648785668
adverse,commercial_property_prices,growth,pct,MX,,,2025,-12.852398248
adverse,commercial_property_prices,growth,pct,MX,,,2026,-17.530846701
adverse,commercial_property_prices,growth,pct,MX,,,2027,-11.469801821
baseline,commercial_property_prices,growth,pct,MX,,,2025,3.308599932
baseline,commercial_property_prices,growth,pct,MX,,,2026,2.361915136
baseline,commercial_property_prices,growth,pct,MX,,,2027,3.969621788
adverse,commercial_property_prices,growth,pct,NL,,,2025,-3.410694413
adverse,commercial_property_prices,growth,pct,NL,,,2026,-15.857816757
adverse,commercial_property_prices,growth,pct,NL,,,2027,-9.898054391
baseline,commercial_property_prices,growth,pct,NL,,,2025,5.484061049
baseline,commercial_property_prices,growth,pct,NL,,,2026,1.814053698
baseline,commercial_property_prices,growth,pct,NL,,,2027,1.963395673
adverse,commercial_property_prices,growth,pct,NO,,,2025,-14.378389321
adverse,commercial_property_prices,growth,pct,NO,,,2026,-13.458753274
adverse,commercial_property_prices,growth,pct,NO,,,2027,-7.823406088
baseline,commercial_property_prices,growth,pct,NO,,,2025,2.574597433
baseline,commercial_property_prices,growth,pct,NO,,,2026,4.386732938
baseline,commercial_property_prices,growth,pct,NO,,,2027,3.549318175
adverse,commercial_property_prices,growth,pct,PE,,,2025,-10.068630485
adverse,commercial_property_prices,growth,pct,PE,,,2026,-14.910104848
adverse,commercial_property_prices,growth,pct,PE,,,2027,-12.156332807
baseline,commercial_property_prices,growth,pct,PE,,,2025,2.390286507
baseline,commercial_property_prices,growth,pct,PE,,,2026,1.212634801
baseline,commercial_property_prices,growth,pct,PE,,,2027,1.907868487
adverse,commercial_property_prices,growth,pct,PL,,,2025,-16.244723337
adverse,commercial_property_prices,growth,pct,PL,,,2026,-19.417385283
adverse,commercial_property_prices,growth,pct,PL,,,2027,-9.841031090
baseline,commercial_property_prices,growth,pct,PL,,,2025,-1.093246741
baseline,commercial_property_prices,growth,pct,PL,,,2026,-0.950552972
baseline,commercial_property_prices,growth,pct,PL,,,2027,-0.010987892
adverse,commercial_property_prices,growth,pct,PT,,,2025,-6.990076319
adverse,commercial_property_prices,growth,pct,PT,,,2026,-16.590984102
adverse,commercial_property_prices,growth,pct,PT,,,2027,-10.671601027
baseline,commercial_property_prices,growth,pct,PT,,,2025,3.383542380
baseline,commercial_property_prices,growth,pct,PT,,,2026,1.958991661
baseline,commercial_property_prices,growth,pct,PT,,,2027,2.138255000
adverse,commercial_property_prices,growth,pct,RO,,,2025,-13.443941878
adverse,commercial_property_prices,growth,pct,RO,,,2026,-13.246938625
adverse,commercial_property_prices,growth,pct,RO,,,2027,-7.475736891
baseline,commercial_property_prices,growth,pct,RO,,,2025,0.083610665
baseline,commercial_property_prices,growth,pct,RO,,,2026,1.505346748
baseline,commercial_property_prices,growth,pct,RO,,,2027,3.177680027
adverse,commercial_property_prices,growth,pct,RU,,,2025,-7.853212051
adverse,commercial_property_prices,growth,pct,RU,,,2026,-13.217222304
adverse,commercial_property_prices,growth,pct,RU,,,2027,-7.225333155
baseline,commercial_property_prices,growth,pct,RU,,,2025,6.680160669
baseline,commercial_property_prices,growth,pct,RU,,,2026,3.488018762
baseline,commercial_property_prices,growth,pct,RU,,,2027,4.864090055
adverse,commercial_property_prices,growth,pct,SE,,,2025,-5.745122277
adverse,commercial_property_prices,growth,pct,SE,,,2026,-18.318418848
adverse,commercial_property_prices,growth,pct,SE,,,2027,-12.529733022
baseline,commercial_property_prices,growth,pct,SE,,,2025,5.323454263
baseline,commercial_property_prices,growth,pct,SE,,,2026,2.927621189
baseline,commercial_property_prices,growth,pct,SE,,,2027,2.583770886
adverse,commercial_property_prices,growth,pct,SI,,,2025,-7.692018182
adverse,commercial_property_prices,growth,pct,SI,,,2026,-12.291006117
adverse,commercial_property_prices,growth,pct,SI,,,2027,-9.327267630
baseline,commercial_property_prices,growth,pct,SI,,,2025,2.046452834
baseline,commercial_property_prices,growth,pct,SI,,,2026,2.085001173
baseline,commercial_property_prices,growth,pct,SI,,,2027,2.172721890
adverse,commercial_property_prices,growth,pct,SK,,,2025,-12.045101097
adverse,commercial_property_prices,growth,pct,SK,,,2026,-22.984135883
adverse,commercial_property_prices,growth,pct,SK,,,2027,-11.059645982
baseline,commercial_property_prices,growth,pct,SK,,,2025,0.932388664
baseline,commercial_property_prices,growth,pct,SK,,,2026,-1.019516629
baseline,commercial_property_prices,growth,pct,SK,,,2027,1.508518935
adverse,commercial_property_prices,growth,pct,TR,,,2025,-5.903454488
adverse,commercial_property_prices,growth,pct,TR,,,2026,-18.467274839
adverse,commercial_property_prices,growth,pct,TR,,,2027,-8.519513256
baseline,commercial_property_prices,growth,pct,TR,,,2025,4.321697956
baseline,commercial_property_prices,growth,pct,TR,,,2026,2.657416148
baseline,commercial_property_prices,growth,pct,TR,,,2027,7.996599402
adverse,commercial_property_prices,growth,pct,US,,,2025,-18.786833169
adverse,commercial_property_prices,growth,pct,US,,,2026,-19.943312646
adverse,commercial_property_prices,growth,pct,US,,,2027,-6.701938267
baseline,commercial_property_prices,growth,pct,US,,,2025,3.755174469
baseline,commercial_property_prices,growth,pct,US,,,2026,4.018017484
baseline,commercial_property_prices,growth,pct,US,,,2027,4.741683123
adverse,commercial_property_prices,growth,pct,WR,,,2025,-17.881688074
adverse,commercial_property_prices,growth,pct,WR,,,2026,-17.401729040
adverse,commercial_property_prices,growth,pct,WR,,,2027,-9.492124434
baseline,commercial_property_prices,growth,pct,WR,,,2025,4.105609742
baseline,commercial_property_prices,growth,pct,WR,,,2026,1.527769995
baseline,commercial_property_prices,growth,pct,WR,,,2027,2.417349709
adverse,foreign_demand_commodities,deviation_from_start,pct,EU foreign demand,,,2025,-9.051913176
adverse,foreign_demand_commodities,deviation_from_start,pct,EU foreign demand,,,2026,-17.043256392
adverse,foreign_demand_commodities,deviation_from_start,pct,EU foreign demand,,,2027,-20.957954949
adverse,foreign_demand_commodities,deviation_from_start,pct,Euro area foreign demand,,,2025,-8.819234812
adverse,foreign_demand_commodities,deviation_from_start,pct,Euro area foreign demand,,,2026,-16.726592699
adverse,foreign_demand_commodities,deviation_from_start,pct,Euro area foreign demand,,,2027,-20.815521908
adverse,foreign_demand_commodities,deviation_from_start,pct,Gas prices,,,2025,65.305785124
adverse,foreign_demand_commodities,deviation_from_start,pct,Gas prices,,,2026,70.447446960
adverse,foreign_demand_commodities,deviation_from_start,pct,Gas prices,,,2027,56.027956210
adverse,foreign_demand_commodities,deviation_from_start,pct,Metal prices,,,2025,48.312695970
adverse,foreign_demand_commodities,deviation_from_start,pct,Metal prices,,,2026,49.409055538
adverse,foreign_demand_commodities,deviation_from_start,pct,Metal prices,,,2027,39.341364806
adverse,foreign_demand_commodities,deviation_from_start,pct,Oil prices,,,2025,57.087085514
adverse,foreign_demand_commodities,deviation_from_start,pct,Oil prices,,,2026,56.097853153
adverse,foreign_demand_commodities,deviation_from_start,pct,Oil prices,,,2027,45.079739724
adverse,foreign_demand_commodities,deviation_from_start,pct,Other non-energy commodity prices,,,2025,22.545217272
adverse,foreign_demand_commodities,deviation_from_start,pct,Other non-energy commodity prices,,,2026,21.681866502
adverse,foreign_demand_commodities,deviation_from_start,pct,Other non-energy commodity prices,,,2027,16.916398484
adverse,fx_rate,level,level,EUR-rest of the world,,,2025,1.177557954
adverse,fx_rate,level,level,EUR-rest of the world,,,2026,1.160436413
adverse,fx_rate,level,level,EUR-rest of the world,,,2027,1.146382222
baseline,fx_rate,level,level,EUR-rest of the world,,,2025,1.081987786
baseline,fx_rate,level,level,EUR-rest of the world,,,2026,1.081987786
baseline,fx_rate,level,level,EUR-rest of the world,,,2027,1.081987786
historical,fx_rate,level,level,EUR-rest of the world,,,2024,1.081987786
adverse,fx_rate,level,level,EUR/AOA,,,2025,1160.527316544
adverse,fx_rate,level,level,EUR/AOA,,,2026,1123.146630062
adverse,fx_rate,level,level,EUR/AOA,,,2027,1092.462750538
baseline,fx_rate,level,level,EUR/AOA,,,2025,951.873292218
baseline,fx_rate,level,level,EUR/AOA,,,2026,951.873292218
baseline,fx_rate,level,level,EUR/AOA,,,2027,951.873292218
historical,fx_rate,level,level,EUR/AOA,,,2024,951.873292218
adverse,fx_rate,level,level,EUR/AUD,,,2025,1.640270843
adverse,fx_rate,level,level,EUR/AUD,,,2026,1.640270843
adverse,fx_rate,level,level,EUR/AUD,,,2027,1.640270843
baseline,fx_rate,level,level,EUR/AUD,,,2025,1.640270843
baseline,fx_rate,level,level,EUR/AUD,,,2026,1.640270843
baseline,fx_rate,level,level,EUR/AUD,,,2027,1.640270843
historical,fx_rate,level,level,EUR/AUD,,,2024,1.640270843
adverse,fx_rate,level,level,EUR/BGN,,,2025,1.955830000
adverse,fx_rate,level,level,EUR/BGN,,,2026,1.955830000
adverse,fx_rate,level,level,EUR/BGN,,,2027,1.955830000
baseline,fx_rate,level,level,EUR/BGN,,,2025,1.955830000
baseline,fx_rate,level,level,EUR/BGN,,,2026,1.955830000
baseline,fx_rate,level,level,EUR/BGN,,,2027,1.955830000
historical,fx_rate,level,level,EUR/BGN,,,2024,1.955830000
adverse,fx_rate,level,level,EUR/BRL,,,2025,6.615561281
adverse,fx_rate,level,level,EUR/BRL,,,2026,6.475796747
adverse,fx_rate,level,level,EUR/BRL,,,2027,6.361071243
baseline,fx_rate,level,level,EUR/BRL,,,2025,5.835414229
baseline,fx_rate,level,level,EUR/BRL,,,2026,5.835414229
baseline,fx_rate,level,level,EUR/BRL,,,2027,5.835414229
historical,fx_rate,level,level,EUR/BRL,,,2024,5.835414229
adverse,fx_rate,level,level,EUR/CAD,,,2025,1.482082644
adverse,fx_rate,level,level,EUR/CAD,,,2026,1.482082644
adverse,fx_rate,level,level,EUR/CAD,,,2027,1.482082644
baseline,fx_rate,level,level,EUR/CAD,,,2025,1.482082644
baseline,fx_rate,level,level,EUR/CAD,,,2026,1.482082644
baseline,fx_rate,level,level,EUR/CAD,,,2027,1.482082644
historical,fx_rate,level,level,EUR/CAD,,,2024,1.482082644
adverse,fx_rate,level,level,EUR/CHF,,,2025,0.952578282
adverse,fx_rate,level,level,EUR/CHF,,,2026,0.952578282
adverse,fx_rate,level,level,EUR/CHF,,,2027,0.952578282
baseline,fx_rate,level,level,EUR/CHF,,,2025,0.952578282
baseline,fx_rate,level,level,EUR/CHF,,,2026,0.952578282
baseline,fx_rate,level,level,EUR/CHF,,,2027,0.952578282
historical,fx_rate,level,level,EUR/CHF,,,2024,0.952578282
adverse,fx_rate,level,level,EUR/CLP,,,2025,1179.315135948
adverse,fx_rate,level,level,EUR/CLP,,,2026,1150.943171900
adverse,fx_rate,level,level,EUR/CLP,,,2027,1127.654088455
baseline,fx_rate,level,level,EUR/CLP,,,2025,1020.946603053
baseline,fx_rate,level,level,EUR/CLP,,,2026,1020.946603053
baseline,fx_rate,level,level,EUR/CLP,,,2027,1020.946603053
historical,fx_rate,level,level,EUR/CLP,,,2024,1020.946603053
adverse,fx_rate,level,level,EUR/CNY,,,2025,7.784924809
adverse,fx_rate,level,level,EUR/CNY,,,2026,7.784924809
adverse,fx_rate,level,level,EUR/CNY,,,2027,7.784924809
baseline,fx_rate,level,level,EUR/CNY,,,2025,7.784924809
baseline,fx_rate,level,level,EUR/CNY,,,2026,7.784924809
baseline,fx_rate,level,level,EUR/CNY,,,2027,7.784924809
historical,fx_rate,level,level,EUR/CNY,,,2024,7.784924809
adverse,fx_rate,level,level,EUR/COP,,,2025,4792.008562466
adverse,fx_rate,level,level,EUR/COP,,,2026,4722.983946365
adverse,fx_rate,level,level,EUR/COP,,,2027,4666.325195443
baseline,fx_rate,level,level,EUR/COP,,,2025,4406.722328244
baseline,fx_rate,level,level,EUR/COP,,,2026,4406.722328244
baseline,fx_rate,level,level,EUR/COP,,,2027,4406.722328244
historical,fx_rate,level,level,EUR/COP,,,2024,4406.722328244
adverse,fx_rate,level,level,EUR/CZK,,,2025,26.966474827
adverse,fx_rate,level,level,EUR/CZK,,,2026,26.635047650
adverse,fx_rate,level,level,EUR/CZK,,,2027,26.362996156
baseline,fx_rate,level,level,EUR/CZK,,,2025,25.116492366
baseline,fx_rate,level,level,EUR/CZK,,,2026,25.116492366
baseline,fx_rate,level,level,EUR/CZK,,,2027,25.116492366
historical,fx_rate,level,level,EUR/CZK,,,2024,25.116492366
adverse,fx_rate,level,level,EUR/DKK,,,2025,7.458785441
adverse,fx_rate,level,level,EUR/DKK,,,2026,7.458785441
adverse,fx_rate,level,level,EUR/DKK,,,2027,7.458785441
baseline,fx_rate,level,level,EUR/DKK,,,2025,7.458785441
baseline,fx_rate,level,level,EUR/DKK,,,2026,7.458785441
baseline,fx_rate,level,level,EUR/DKK,,,2027,7.458785441
historical,fx_rate,level,level,EUR/DKK,,,2024,7.458785441
adverse,fx_rate,level,level,EUR/GBP,,,2025,0.846588550
adverse,fx_rate,level,level,EUR/GBP,,,2026,0.846588550
adverse,fx_rate,level,level,EUR/GBP,,,2027,0.846588550
baseline,fx_rate,level,level,EUR/GBP,,,2025,0.846588550
baseline,fx_rate,level,level,EUR/GBP,,,2026,0.846588550
baseline,fx_rate,level,level,EUR/GBP,,,2027,0.846588550
historical,fx_rate,level,level,EUR/GBP,,,2024,0.846588550
adverse,fx_rate,level,level,EUR/HKD,,,2025,8.442644656
adverse,fx_rate,level,level,EUR/HKD,,,2026,8.442644656
adverse,fx_rate,level,level,EUR/HKD,,,2027,8.442644656
baseline,fx_rate,level,level,EUR/HKD,,,2025,8.442644656
baseline,fx_rate,level,level,EUR/HKD,,,2026,8.442644656
baseline,fx_rate,level,level,EUR/HKD,,,2027,8.442644656
historical,fx_rate,level,level,EUR/HKD,,,2024,8.442644656
adverse,fx_rate,level,level,EUR/HUF,,,2025,461.435329623
